ROWHEADER,Test,ODI,T20,IPL,name
300s,0,0,0,0,Soumya Sarkar
400s,0,0,0,0,Soumya Sarkar
Matches,11,66,48,0,Sabbir Rahman
Innings,22,59,47,0,Sabbir Rahman
Runs,481,1333,977,0,Sabbir Rahman
Balls,875,1461,819,0,Sabbir Rahman
Highest,66,102,80,0,Sabbir Rahman
Average,24.05,25.63,23.26,0,Sabbir Rahman
SR,54.98,91.24,119.30,0,Sabbir Rahman
Not Out,2,7,5,0,Sabbir Rahman
Fours,56,153,92,0,Sabbir Rahman
Sixes,6,24,29,0,Sabbir Rahman
Ducks,5,5,3,0,Sabbir Rahman
50s,4,6,4,0,Sabbir Rahman
100s,0,1,0,0,Sabbir Rahman
200s,0,0,0,0,Sabbir Rahman
300s,0,0,0,0,Sabbir Rahman
400s,0,0,0,0,Sabbir Rahman
Matches,50,239,141,0,Mahmudullah
Innings,94,209,130,0,Mahmudullah
Runs,2914,5689,2443,0,Mahmudullah
Balls,5456,7330,2083,0,Mahmudullah
Highest,150,128,64,0,Mahmudullah
Average,33.11,36.47,23.49,0,Mahmudullah
SR,53.41,77.62,117.29,0,Mahmudullah
Not Out,6,53,26,0,Mahmudullah
Fours,338,426,184,0,Mahmudullah
Sixes,24,107,77,0,Mahmudullah
Ducks,11,10,5,0,Mahmudullah
50s,16,32,8,0,Mahmudullah
100s,5,4,0,0,Mahmudullah
200s,0,0,0,0,Mahmudullah
300s,0,0,0,0,Mahmudullah
400s,0,0,0,0,Mahmudullah
Matches,71,247,129,71,Shakib Al Hasan
Innings,130,234,126,52,Shakib Al Hasan
Runs,4609,7570,2551,793,Shakib Al Hasan
Balls,7473,9138,2104,637,Shakib Al Hasan
Highest,217,134,84,66,Shakib Al Hasan
Average,37.78,37.11,23.19,19.83,Shakib Al Hasan
SR,61.68,82.85,121.25,124.49,Shakib Al Hasan
Not Out,8,30,16,12,Shakib Al Hasan
Fours,556,699,258,73,Shakib Al Hasan
Sixes,28,54,53,21,Shakib Al Hasan
Ducks,6,12,9,4,Shakib Al Hasan
50s,31,56,13,2,Shakib Al Hasan
100s,5,9,0,0,Shakib Al Hasan
200s,1,0,0,0,Shakib Al Hasan
300s,0,0,0,0,Shakib Al Hasan
400s,0,0,0,0,Shakib Al Hasan
Matches,4,43,33,0,Mosaddek Hossain
Innings,8,35,31,0,Mosaddek Hossain
Runs,173,634,389,0,Mosaddek Hossain
Balls,375,762,341,0,Mosaddek Hossain
Highest,75,52,48,0,Mosaddek Hossain
Average,28.83,25.36,18.52,0,Mosaddek Hossain
SR,46.14,83.21,114.08,0,Mosaddek Hossain
Not Out,2,10,10,0,Mosaddek Hossain
Fours,13,58,26,0,Mosaddek Hossain
Sixes,4,13,11,0,Mosaddek Hossain
Ducks,1,1,4,0,Mosaddek Hossain
50s,1,3,0,0,Mosaddek Hossain
100s,0,0,0,0,Mosaddek Hossain
200s,0,0,0,0,Mosaddek Hossain
300s,0,0,0,0,Mosaddek Hossain
400s,0,0,0,0,Mosaddek Hossain
Matches,0,29,38,0,Mohammad Saifuddin
Innings,0,19,21,0,Mohammad Saifuddin
Runs,0,362,206,0,Mohammad Saifuddin
Balls,0,422,180,0,Mohammad Saifuddin
Highest,0,51,39,0,Mohammad Saifuddin
Average,0,36.2,18.73,0,Mohammad Saifuddin
SR,0,85.79,114.45,0,Mohammad Saifuddin
Not Out,0,9,10,0,Mohammad Saifuddin
Fours,0,29,16,0,Mohammad Saifuddin
Sixes,0,6,7,0,Mohammad Saifuddin
Ducks,0,1,2,0,Mohammad Saifuddin
50s,0,2,0,0,Mohammad Saifuddin
100s,0,0,0,0,Mohammad Saifuddin
200s,0,0,0,0,Mohammad Saifuddin
300s,0,0,0,0,Mohammad Saifuddin
400s,0,0,0,0,Mohammad Saifuddin
Matches,51,105,29,0,Mehidy Hasan Miraz
Innings,93,76,24,0,Mehidy Hasan Miraz
Runs,1952,1617,354,0,Mehidy Hasan Miraz
Balls,3920,2105,305,0,Mehidy Hasan Miraz
Highest,103,112,46,0,Mehidy Hasan Miraz
Average,23.52,24.5,17.7,0,Mehidy Hasan Miraz
SR,49.80,76.82,116.07,0,Mehidy Hasan Miraz
Not Out,10,10,4,0,Mehidy Hasan Miraz
Fours,231,137,29,0,Mehidy Hasan Miraz
Sixes,20,27,10,0,Mehidy Hasan Miraz
Ducks,6,4,2,0,Mehidy Hasan Miraz
50s,9,6,0,0,Mehidy Hasan Miraz
100s,1,2,0,0,Mehidy Hasan Miraz
200s,0,0,0,0,Mehidy Hasan Miraz
300s,0,0,0,0,Mehidy Hasan Miraz
400s,0,0,0,0,Mehidy Hasan Miraz
Matches,94,274,102,0,Mushfiqur Rahim
Innings,174,256,93,0,Mushfiqur Rahim
Runs,6007,7795,1500,0,Mushfiqur Rahim
Balls,12392,9780,1305,0,Mushfiqur Rahim
Highest,219,144,72,0,Mushfiqur Rahim
Average,37.54,36.26,19.23,0,Mushfiqur Rahim
SR,48.48,79.71,114.95,0,Mushfiqur Rahim
Not Out,14,41,15,0,Mushfiqur Rahim
Fours,713,617,126,0,Mushfiqur Rahim
Sixes,36,100,37,0,Mushfiqur Rahim
Ducks,13,12,8,0,Mushfiqur Rahim
50s,27,49,6,0,Mushfiqur Rahim
100s,11,9,0,0,Mushfiqur Rahim
200s,3,0,0,0,Mushfiqur Rahim
300s,0,0,0,0,Mushfiqur Rahim
400s,0,0,0,0,Mushfiqur Rahim
Matches,48,94,95,1,Litton Das
Innings,84,93,93,1,Litton Das
Runs,2788,2569,2021,4,Litton Das
Balls,4740,2986,1619,4,Litton Das
Highest,141,176,83,4,Litton Das
Average,33.59,29.53,22.46,4,Litton Das
SR,58.82,86.04,124.84,100.00,Litton Das
Not Out,1,6,3,0,Litton Das
Fours,345,274,210,1,Litton Das
Sixes,16,45,58,0,Litton Das
Ducks,2,15,6,0,Litton Das
50s,17,12,11,0,Litton Das
100s,4,5,0,0,Litton Das
200s,0,0,0,0,Litton Das
300s,0,0,0,0,Litton Das
400s,0,0,0,0,Litton Das
Matches,10,34,17,0,Mohammad Mithun
Innings,18,30,13,0,Mohammad Mithun
Runs,333,714,127,0,Mohammad Mithun
Balls,752,921,136,0,Mohammad Mithun
Highest,67,73,47,0,Mohammad Mithun
Average,18.5,27.46,10.58,0,Mohammad Mithun
SR,44.29,77.53,93.39,0,Mohammad Mithun
Not Out,0,4,1,0,Mohammad Mithun
Fours,32,61,10,0,Mohammad Mithun
Sixes,3,16,4,0,Mohammad Mithun
Ducks,4,2,2,0,Mohammad Mithun
50s,2,6,0,0,Mohammad Mithun
100s,0,0,0,0,Mohammad Mithun
200s,0,0,0,0,Mohammad Mithun
300s,0,0,0,0,Mohammad Mithun
400s,0,0,0,0,Mohammad Mithun
Matches,36,220,54,1,Mashrafe Mortaza
Innings,67,158,39,1,Mashrafe Mortaza
Runs,797,1787,377,2,Mashrafe Mortaza
Balls,1186,2041,278,2,Mashrafe Mortaza
Highest,79,51,36,2,Mashrafe Mortaza
Average,12.85,13.75,13.46,0,Mashrafe Mortaza
SR,67.21,87.56,135.62,100.00,Mashrafe Mortaza
Not Out,5,28,11,1,Mashrafe Mortaza
Fours,95,149,28,0,Mashrafe Mortaza
Sixes,22,62,23,0,Mashrafe Mortaza
Ducks,12,15,6,0,Mashrafe Mortaza
50s,3,1,0,0,Mashrafe Mortaza
100s,0,0,0,0,Mashrafe Mortaza
200s,0,0,0,0,Mashrafe Mortaza
300s,0,0,0,0,Mashrafe Mortaza
400s,0,0,0,0,Mashrafe Mortaza
Matches,27,104,28,0,Rubel Hossain
Innings,47,53,15,0,Rubel Hossain
Runs,265,144,20,0,Rubel Hossain
Balls,603,277,36,0,Rubel Hossain
Highest,45,17,8,0,Rubel Hossain
Average,9.46,4.97,4,0,Rubel Hossain
SR,43.95,51.99,55.56,0,Rubel Hossain
Not Out,19,24,10,0,Rubel Hossain
Fours,34,14,1,0,Rubel Hossain
Sixes,4,2,0,0,Rubel Hossain
Ducks,7,11,4,0,Rubel Hossain
50s,0,0,0,0,Rubel Hossain
100s,0,0,0,0,Rubel Hossain
200s,0,0,0,0,Rubel Hossain
300s,0,0,0,0,Rubel Hossain
400s,0,0,0,0,Rubel Hossain
Matches,15,109,106,57,Mustafizur Rahman
Innings,22,54,32,9,Mustafizur Rahman
Runs,66,166,87,13,Mustafizur Rahman
Balls,162,319,117,23,Mustafizur Rahman
Highest,16,20,15,8,Mustafizur Rahman
Average,4.4,7.9,4.58,13,Mustafizur Rahman
SR,40.75,52.04,74.36,56.53,Mustafizur Rahman
Not Out,7,33,13,8,Mustafizur Rahman
Fours,3,18,3,0,Mustafizur Rahman
Sixes,5,1,5,1,Mustafizur Rahman
Ducks,8,9,7,0,Mustafizur Rahman
50s,0,0,0,0,Mustafizur Rahman
100s,0,0,0,0,Mustafizur Rahman
200s,0,0,0,0,Mustafizur Rahman
300s,0,0,0,0,Mustafizur Rahman
400s,0,0,0,0,Mustafizur Rahman
Matches,13,2,3,0,Abu Jayed
Innings,22,0,2,0,Abu Jayed
Runs,36,0,3,0,Abu Jayed
Balls,157,0,7,0,Abu Jayed
Highest,8,0,2,0,Abu Jayed
Average,2.57,0,1.5,0,Abu Jayed
SR,22.93,0,42.86,0,Abu Jayed
Not Out,8,0,0,0,Abu Jayed
Fours,4,0,0,0,Abu Jayed
Sixes,0,0,0,0,Abu Jayed
Ducks,7,0,0,0,Abu Jayed
50s,0,0,0,0,Abu Jayed
100s,0,0,0,0,Abu Jayed
200s,0,0,0,0,Abu Jayed
300s,0,0,0,0,Abu Jayed
400s,0,0,0,0,Abu Jayed
Matches,3,86,92,0,Fakhar Zaman
Innings,6,85,84,0,Fakhar Zaman
Runs,192,3651,1848,0,Fakhar Zaman
Balls,359,3890,1390,0,Fakhar Zaman
Highest,94,210,91,0,Fakhar Zaman
Average,32,46.22,22.81,0,Fakhar Zaman
SR,53.49,93.86,132.95,0,Fakhar Zaman
Not Out,0,6,3,0,Fakhar Zaman
Fours,20,409,172,0,Fakhar Zaman
Sixes,1,79,76,0,Fakhar Zaman
Ducks,0,6,6,0,Fakhar Zaman
50s,2,17,11,0,Fakhar Zaman
100s,0,11,0,0,Fakhar Zaman
200s,0,1,0,0,Fakhar Zaman
300s,0,0,0,0,Fakhar Zaman
400s,0,0,0,0,Fakhar Zaman
Matches,24,75,2,0,Imam
Innings,46,74,2,0,Imam
Runs,1568,3152,21,0,Imam
Balls,3404,3846,25,0,Imam
Highest,157,151,14,0,Imam
Average,37.33,46.35,10.5,0,Imam
SR,46.07,81.96,84.00,0,Imam
Not Out,4,6,0,0,Imam
Fours,170,253,2,0,Imam
Sixes,12,30,0,0,Imam
Ducks,4,3,0,0,Imam
50s,9,20,0,0,Imam
100s,3,9,0,0,Imam
200s,0,0,0,0,Imam
300s,0,0,0,0,Imam
400s,0,0,0,0,Imam
Matches,59,131,128,0,Babar Azam
Innings,108,128,121,0,Babar Azam
Runs,4235,6235,4223,0,Babar Azam
Balls,7787,7089,3268,0,Babar Azam
Highest,196,158,122,0,Babar Azam
Average,42.78,55.18,39.84,0,Babar Azam
SR,54.39,87.96,129.23,0,Babar Azam
Not Out,9,15,15,0,Babar Azam
Fours,495,574,447,0,Babar Azam
Sixes,23,67,73,0,Babar Azam
Ducks,8,4,7,0,Babar Azam
50s,29,37,36,0,Babar Azam
100s,9,19,3,0,Babar Azam
200s,0,0,0,0,Babar Azam
300s,0,0,0,0,Babar Azam
400s,0,0,0,0,Babar Azam
Matches,0,21,58,0,Asif Ali
Innings,0,16,51,0,Asif Ali
Runs,0,382,577,0,Asif Ali
Balls,0,314,431,0,Asif Ali
Highest,0,52,41,0,Asif Ali
Average,0,25.47,15.18,0,Asif Ali
SR,0,121.66,133.88,0,Asif Ali
Not Out,0,1,13,0,Asif Ali
Fours,0,22,27,0,Asif Ali
Sixes,0,21,37,0,Asif Ali
Ducks,0,0,4,0,Asif Ali
50s,0,3,0,0,Asif Ali
100s,0,0,0,0,Asif Ali
200s,0,0,0,0,Asif Ali
300s,0,0,0,0,Asif Ali
400s,0,0,0,0,Asif Ali
Matches,16,45,14,0,Haris Sohail
Innings,27,44,13,0,Haris Sohail
Runs,847,1749,210,0,Haris Sohail
Balls,1936,2045,204,0,Haris Sohail
Highest,147,130,52,0,Haris Sohail
Average,32.58,44.85,19.09,0,Haris Sohail
SR,43.75,85.53,102.95,0,Haris Sohail
Not Out,1,5,2,0,Haris Sohail
Fours,74,138,16,0,Haris Sohail
Sixes,13,28,3,0,Haris Sohail
Ducks,1,1,1,0,Haris Sohail
50s,3,14,2,0,Haris Sohail
100s,2,2,0,0,Haris Sohail
200s,0,0,0,0,Haris Sohail
300s,0,0,0,0,Haris Sohail
400s,0,0,0,0,Haris Sohail
Matches,55,218,119,8,Mohammad Hafeez
Innings,105,216,108,8,Mohammad Hafeez
Runs,3652,6614,2514,64,Mohammad Hafeez
Balls,6520,8634,2060,83,Mohammad Hafeez
Highest,224,140,99,16,Mohammad Hafeez
Average,37.65,32.91,26.46,9.14,Mohammad Hafeez
SR,56.02,76.61,122.04,77.11,Mohammad Hafeez
Not Out,8,15,13,1,Mohammad Hafeez
Fours,455,664,251,7,Mohammad Hafeez
Sixes,28,110,76,2,Mohammad Hafeez
Ducks,8,19,7,0,Mohammad Hafeez
50s,12,38,14,0,Mohammad Hafeez
100s,10,11,0,0,Mohammad Hafeez
200s,1,0,0,0,Mohammad Hafeez
300s,0,0,0,0,Mohammad Hafeez
400s,0,0,0,0,Mohammad Hafeez
Matches,35,287,124,7,Shoaib Malik
Innings,60,258,111,5,Shoaib Malik
Runs,1898,7534,2435,52,Shoaib Malik
Balls,4155,9199,1938,47,Shoaib Malik
Highest,245,143,75,24,Shoaib Malik
Average,35.15,34.56,31.22,13,Shoaib Malik
SR,45.68,81.91,125.65,110.64,Shoaib Malik
Not Out,6,40,33,1,Shoaib Malik
Fours,239,603,196,5,Shoaib Malik
Sixes,17,113,69,0,Shoaib Malik
Ducks,6,15,2,0,Shoaib Malik
50s,8,44,9,0,Shoaib Malik
100s,3,9,0,0,Shoaib Malik
200s,1,0,0,0,Shoaib Malik
300s,0,0,0,0,Shoaib Malik
400s,0,0,0,0,Shoaib Malik
Matches,6,70,109,0,Shadab Khan
Innings,11,44,56,0,Shadab Khan
Runs,300,855,737,0,Shadab Khan
Balls,479,997,530,0,Shadab Khan
Highest,56,86,52,0,Shadab Khan
Average,33.33,25.91,17.55,0,Shadab Khan
SR,62.64,85.76,139.06,0,Shadab Khan
Not Out,2,11,14,0,Shadab Khan
Fours,38,51,51,0,Shadab Khan
Sixes,0,19,36,0,Shadab Khan
Ducks,0,3,6,0,Shadab Khan
50s,3,4,1,0,Shadab Khan
100s,0,0,0,0,Shadab Khan
200s,0,0,0,0,Shadab Khan
300s,0,0,0,0,Shadab Khan
400s,0,0,0,0,Shadab Khan
Matches,0,55,75,0,Imad Wasim
Innings,0,40,50,0,Imad Wasim
Runs,0,986,554,0,Imad Wasim
Balls,0,894,426,0,Imad Wasim
Highest,0,63,64,0,Imad Wasim
Average,0,42.87,15.83,0,Imad Wasim
SR,0,110.30,130.05,0,Imad Wasim
Not Out,0,17,15,0,Imad Wasim
Fours,0,91,55,0,Imad Wasim
Sixes,0,19,12,0,Imad Wasim
Ducks,0,1,6,0,Imad Wasim
50s,0,5,1,0,Imad Wasim
100s,0,0,0,0,Imad Wasim
200s,0,0,0,0,Imad Wasim
300s,0,0,0,0,Imad Wasim
400s,0,0,0,0,Imad Wasim
Matches,54,117,61,0,Sarfaraz Ahmed
Innings,95,91,42,0,Sarfaraz Ahmed
Runs,3031,2315,818,0,Sarfaraz Ahmed
Balls,4320,2635,653,0,Sarfaraz Ahmed
Highest,118,105,89,0,Sarfaraz Ahmed
Average,36.96,33.55,27.27,0,Sarfaraz Ahmed
SR,70.17,87.86,125.27,0,Sarfaraz Ahmed
Not Out,13,22,12,0,Sarfaraz Ahmed
Fours,309,174,79,0,Sarfaraz Ahmed
Sixes,9,12,15,0,Sarfaraz Ahmed
Ducks,4,1,2,0,Sarfaraz Ahmed
50s,21,11,3,0,Sarfaraz Ahmed
100s,4,2,0,0,Sarfaraz Ahmed
200s,0,0,0,0,Sarfaraz Ahmed
300s,0,0,0,0,Sarfaraz Ahmed
400s,0,0,0,0,Sarfaraz Ahmed
Matches,27,91,36,0,Wahab Riaz
Innings,41,66,18,0,Wahab Riaz
Runs,306,740,154,0,Wahab Riaz
Balls,727,849,123,0,Wahab Riaz
Highest,39,54,30,0,Wahab Riaz
Average,8.5,14.51,12.83,0,Wahab Riaz
SR,42.10,87.17,125.21,0,Wahab Riaz
Not Out,5,15,6,0,Wahab Riaz
Fours,32,55,10,0,Wahab Riaz
Sixes,5,30,7,0,Wahab Riaz
Ducks,9,12,2,0,Wahab Riaz
50s,0,3,0,0,Wahab Riaz
100s,0,0,0,0,Wahab Riaz
200s,0,0,0,0,Wahab Riaz
300s,0,0,0,0,Wahab Riaz
400s,0,0,0,0,Wahab Riaz
Matches,31,64,79,0,Shaheen Afridi
Innings,41,37,27,0,Shaheen Afridi
Runs,249,261,211,0,Shaheen Afridi
Balls,556,310,174,0,Shaheen Afridi
Highest,29,25,23,0,Shaheen Afridi
Average,8.03,13.05,12.41,0,Shaheen Afridi
SR,44.79,84.20,121.27,0,Shaheen Afridi
Not Out,10,17,10,0,Shaheen Afridi
Fours,31,23,12,0,Shaheen Afridi
Sixes,5,10,15,0,Shaheen Afridi
Ducks,9,6,4,0,Shaheen Afridi
50s,0,0,0,0,Shaheen Afridi
100s,0,0,0,0,Shaheen Afridi
200s,0,0,0,0,Shaheen Afridi
300s,0,0,0,0,Shaheen Afridi
400s,0,0,0,0,Shaheen Afridi
Matches,24,66,51,0,Hasan Ali
Innings,38,38,19,0,Hasan Ali
Runs,382,383,129,0,Hasan Ali
Balls,527,327,69,0,Hasan Ali
Highest,30,59,23,0,Hasan Ali
Average,11.94,14.19,14.33,0,Hasan Ali
SR,72.49,117.13,186.96,0,Hasan Ali
Not Out,6,11,10,0,Hasan Ali
Fours,34,28,7,0,Hasan Ali
Sixes,20,24,11,0,Hasan Ali
Ducks,7,4,4,0,Hasan Ali
50s,0,2,0,0,Hasan Ali
100s,0,0,0,0,Hasan Ali
200s,0,0,0,0,Hasan Ali
300s,0,0,0,0,Hasan Ali
400s,0,0,0,0,Hasan Ali
Matches,0,15,28,0,Mohammad Hasnain
Innings,0,7,12,0,Mohammad Hasnain
Runs,0,53,24,0,Mohammad Hasnain
Balls,0,34,26,0,Mohammad Hasnain
Highest,0,28,8,0,Mohammad Hasnain
Average,0,17.67,24,0,Mohammad Hasnain
SR,0,155.89,92.31,0,Mohammad Hasnain
Not Out,0,4,11,0,Mohammad Hasnain
Fours,0,9,2,0,Mohammad Hasnain
Sixes,0,1,1,0,Mohammad Hasnain
Ducks,0,1,0,0,Mohammad Hasnain
50s,0,0,0,0,Mohammad Hasnain
100s,0,0,0,0,Mohammad Hasnain
200s,0,0,0,0,Mohammad Hasnain
300s,0,0,0,0,Mohammad Hasnain
400s,0,0,0,0,Mohammad Hasnain
Matches,36,61,62,0,Mohammad Amir
Innings,67,30,17,0,Mohammad Amir
Runs,751,363,65,0,Mohammad Amir
Balls,1980,444,76,0,Mohammad Amir
Highest,48,73,21,0,Mohammad Amir
Average,13.41,18.15,7.22,0,Mohammad Amir
SR,37.93,81.76,85.53,0,Mohammad Amir
Not Out,11,10,8,0,Mohammad Amir
Fours,91,32,3,0,Mohammad Amir
Sixes,3,8,3,0,Mohammad Amir
Ducks,7,5,2,0,Mohammad Amir
50s,0,2,0,0,Mohammad Amir
100s,0,0,0,0,Mohammad Amir
200s,0,0,0,0,Mohammad Amir
300s,0,0,0,0,Mohammad Amir
400s,0,0,0,0,Mohammad Amir
Matches,44,127,26,0,Lahiru Thirimanne
Innings,85,105,20,0,Lahiru Thirimanne
Runs,2088,3164,291,0,Lahiru Thirimanne
Balls,5294,4389,267,0,Lahiru Thirimanne
Highest,155,139,44,0,Lahiru Thirimanne
Average,26.43,34.77,16.17,0,Lahiru Thirimanne
SR,39.45,72.09,108.99,0,Lahiru Thirimanne
Not Out,6,14,2,0,Lahiru Thirimanne
Fours,207,244,27,0,Lahiru Thirimanne
Sixes,3,25,5,0,Lahiru Thirimanne
Ducks,11,7,1,0,Lahiru Thirimanne
50s,10,21,0,0,Lahiru Thirimanne
100s,3,4,0,0,Lahiru Thirimanne
200s,0,0,0,0,Lahiru Thirimanne
300s,0,0,0,0,Lahiru Thirimanne
400s,0,0,0,0,Lahiru Thirimanne
Matches,100,50,0,0,Dimuth Karunaratne
Innings,191,46,0,0,Dimuth Karunaratne
Runs,7222,1316,0,0,Dimuth Karunaratne
Balls,14024,1655,0,0,Dimuth Karunaratne
Highest,244,103,0,0,Dimuth Karunaratne
Average,39.25,31.33,0,0,Dimuth Karunaratne
SR,51.5,79.52,0,0,Dimuth Karunaratne
Not Out,7,4,0,0,Dimuth Karunaratne
Fours,764,131,0,0,Dimuth Karunaratne
Sixes,12,1,0,0,Dimuth Karunaratne
Ducks,13,4,0,0,Dimuth Karunaratne
50s,39,11,0,0,Dimuth Karunaratne
100s,16,1,0,0,Dimuth Karunaratne
200s,1,0,0,0,Dimuth Karunaratne
300s,0,0,0,0,Dimuth Karunaratne
400s,0,0,0,0,Dimuth Karunaratne
Matches,0,51,37,0,Avishka Fernando
Innings,0,50,35,0,Avishka Fernando
Runs,0,1589,363,0,Avishka Fernando
Balls,0,1787,386,0,Avishka Fernando
Highest,0,127,37,0,Avishka Fernando
Average,0,31.78,11,0,Avishka Fernando
SR,0,88.92,94.05,0,Avishka Fernando
Not Out,0,0,2,0,Avishka Fernando
Fours,0,165,28,0,Avishka Fernando
Sixes,0,31,8,0,Avishka Fernando
Ducks,0,5,5,0,Avishka Fernando
50s,0,9,0,0,Avishka Fernando
100s,0,4,0,0,Avishka Fernando
200s,0,0,0,0,Avishka Fernando
300s,0,0,0,0,Avishka Fernando
400s,0,0,0,0,Avishka Fernando
Matches,118,226,90,49,Angelo Mathews
Innings,210,194,73,42,Angelo Mathews
Runs,8167,5916,1416,724,Angelo Mathews
Balls,16856,7135,1175,575,Angelo Mathews
Highest,200,139,81,65,Angelo Mathews
Average,44.63,40.52,27.76,23.35,Angelo Mathews
SR,48.46,82.92,120.52,125.92,Angelo Mathews
Not Out,27,48,22,11,Angelo Mathews
Fours,831,468,92,44,Angelo Mathews
Sixes,89,90,50,29,Angelo Mathews
Ducks,6,16,1,3,Angelo Mathews
50s,45,40,6,1,Angelo Mathews
100s,16,3,0,0,Angelo Mathews
200s,1,0,0,0,Angelo Mathews
300s,0,0,0,0,Angelo Mathews
400s,0,0,0,0,Angelo Mathews
Matches,63,90,45,0,Dhananjaya de Silva
Innings,112,82,44,0,Dhananjaya de Silva
Runs,4095,1865,847,0,Dhananjaya de Silva
Balls,7013,2373,731,0,Dhananjaya de Silva
Highest,173,93,66,0,Dhananjaya de Silva
Average,38.63,25.9,21.18,0,Dhananjaya de Silva
SR,58.4,78.6,115.87,0,Dhananjaya de Silva
Not Out,6,10,4,0,Dhananjaya de Silva
Fours,495,186,71,0,Dhananjaya de Silva
Sixes,35,17,18,0,Dhananjaya de Silva
Ducks,10,4,2,0,Dhananjaya de Silva
50s,19,10,3,0,Dhananjaya de Silva
100s,12,0,0,0,Dhananjaya de Silva
200s,0,0,0,0,Dhananjaya de Silva
300s,0,0,0,0,Dhananjaya de Silva
400s,0,0,0,0,Dhananjaya de Silva
Matches,5,27,22,0,Milinda Siriwardana
Innings,9,24,19,0,Milinda Siriwardana
Runs,298,516,275,0,Milinda Siriwardana
Balls,454,525,208,0,Milinda Siriwardana
Highest,68,66,42,0,Milinda Siriwardana
Average,33.11,22.43,17.19,0,Milinda Siriwardana
SR,65.64,98.29,132.22,0,Milinda Siriwardana
Not Out,0,1,3,0,Milinda Siriwardana
Fours,32,39,16,0,Milinda Siriwardana
Sixes,11,13,12,0,Milinda Siriwardana
Ducks,1,1,4,0,Milinda Siriwardana
50s,2,3,0,0,Milinda Siriwardana
100s,0,0,0,0,Milinda Siriwardana
200s,0,0,0,0,Milinda Siriwardana
300s,0,0,0,0,Milinda Siriwardana
400s,0,0,0,0,Milinda Siriwardana
Matches,6,166,84,37,Thisara Perera
Innings,10,133,74,30,Thisara Perera
Runs,203,2338,1204,422,Thisara Perera
Balls,278,2086,794,307,Thisara Perera
Highest,75,140,61,40,Thisara Perera
Average,20.3,19.98,23.15,19.18,Thisara Perera
SR,73.03,112.09,151.64,137.46,Thisara Perera
Not Out,0,16,22,8,Thisara Perera
Fours,21,176,88,23,Thisara Perera
Sixes,4,84,64,26,Thisara Perera
Ducks,0,11,8,1,Thisara Perera
50s,1,10,3,0,Thisara Perera
100s,0,1,0,0,Thisara Perera
200s,0,0,0,0,Thisara Perera
300s,0,0,0,0,Thisara Perera
400s,0,0,0,0,Thisara Perera
Matches,0,21,35,10,Isuru Udana
Innings,0,18,25,4,Isuru Udana
Runs,0,237,256,15,Isuru Udana
Balls,0,249,186,11,Isuru Udana
Highest,0,78,84,10,Isuru Udana
Average,0,16.93,18.29,5,Isuru Udana
SR,0,95.19,137.64,136.37,Isuru Udana
